Source monochromator scan
Friday 16 September 2011  6:20 pm
, header N/A, pin N/A
AR coated.
Detector calibration file:    C:\Program Files\Dave's program\Newport 818-SL.CAL
Pre-amp gain:                 1 
Using lock-in's current port.
Light bias demand voltage:    0 V
Monochromator factor:         0.6733 counts/nm
Monochromator offset:        -7.2842 counts
Entrance slit width:          0 mm
Exit pinhole diameter:        0 mm
Lock-in type:                 Stanford SR510
Lock-in accuracy:             0 %
Lock-in time constant:        100 ms
Chopper wheel frequency:      181.2 Hz
Comments:                     

Wavelength (nm)    Photocurrent (nA)   Error (%)           Uncorrected (nA)
 400.02             4.128723            0.2550191           2.4032 
 409.97             5.124478            0.127734            3.1945 
 420                6.227484            0.1393766           4.0745 
 430.02             7.530966            0.3944021           5.1154 
 439.97             8.27616             0.0698811           5.7685 
 450                9.069383            7.753945E-02        6.4805 
 460.02             11.35457            0.1287245           8.2858 
 469.98             14.2126             0.4329314           10.537 
 480                16.52485            0.0765111           12.4165 
 490.03             19.12864            8.582111E-02        14.5185 
 499.98             21.83653            8.707169E-02        16.6925 
 510                25.15001            0.597882            19.339 
 520.03             27.67172            0.0642988           21.381 
 529.98             30.73301            2.520161E-02        23.808 
 540                33.69359            5.198345E-02        26.165 
 550.03             36.76982            5.938035E-02        28.629 
 559.98             39.79279            2.811467E-02        31.008 
 570                42.65001            5.347569E-02        33.242 
 580.03             45.5463             0.0210964           35.472 
 589.98             48.31186            3.727568E-02        37.558 
 600.01             50.79984            2.393257E-02        39.419 
 610.03             52.6656             1.700639E-02        41.161 
 619.98             55.33287            0.0210689           42.717 
 630.01             57.15158            1.042134E-02        43.973 
 640.03             59.57931            0.3919036           45.703 
 649.98             59.94933            3.521787E-02        45.873 
 660.01             60.96981            7.257234E-02        46.606 
 670.03             62.59578            0.1529231           47.714 
 679.99             61.21818            4.920623E-02        46.565 
 690.01             59.94437            6.688029E-02        45.475 
 700.04             60.82021            3.819813E-02        46.019 
 709.99             67.22131            0.0514176           50.753 
 720.01             70.36108            0.0184909           52.988 
 729.96             69.96002            5.090783E-02        52.562 
 739.99             69.17974            0.1001958           51.86 
 750.01             66.26533            6.697546E-02        49.52 
 759.96             63.37474            1.693695E-02        47.234 
 769.99             60.37659            3.061241E-02        44.909 
 780.02             57.69531            2.103934E-02        42.777 
 789.97             55.0591             0                   40.73 
 799.99             52.33895            3.884501E-02        38.615 
 810.02             49.98526            3.997862E-02        36.762 
 819.97             47.95127            4.179066E-02        35.168 
 829.99             46.44704            2.696743E-02        33.986 
 840.02             45.53628            0                   33.23 
 849.97             45.2122             3.646751E-02        32.906 
 859.99             45.44034            2.424536E-02        32.996 
 870.02             45.97424            0.0180191           33.298 
 879.97             46.5563             4.082958E-02        33.671 
 890                47.26923            3.518442E-02        34.106 
 900.02             47.7812             2.616051E-02        34.403 
 909.97             47.87108            3.993994E-02        34.421 
 920                47.6881             0                   34.1 
 930.02             47.00798            4.480956E-02        33.475 
 939.97             45.43465            2.788363E-02        32.277 
 950                43.77616            4.754444E-02        30.912 
 960.02             41.51883            0.2052161           29.095 
 969.97             39.51674            1.633955E-02        27.37 
 980                36.6896             5.096811E-02        25.126 
 990.03             33.95568            5.915501E-02        22.743 
 999.98             31.12327            8.616127E-02        20.236 
 1010               28.22496            9.600195E-02        17.585 
 1020.03            25.77162            0.115163            15.04 
 1029.98            23.3839             0.2613645           12.492 
 1040               21.72303            7.878038E-02        10.2535 
 1050.03            20.34587            0.1417045           8.169001 
 1059.98            19.58159            0.1323202           6.368 
 1070               18.31776            0.1840132           4.7798 
 1080.03            18.02757            0.1586719           3.8465 
 1089.98            16.99313            0.3246661           2.9324 
 1100.01            17.31604            0.1406263           2.3681 
